epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,10989.9,0.8664,0.8172,1.10687,0.66613,0.63014,0.64696,0.41459,1.24419,1.27311,1.34325,0.000438703,0.000438703,0.000438703
72,11143.6,0.84238,0.7949,1.08682,0.65922,0.6728,0.66771,0.42658,1.2238,1.17797,1.3178,0.000424556,0.000424556,0.000424556
73,11294.3,0.83316,0.75971,1.08414,0.66605,0.66676,0.67878,0.43858,1.20855,1.20388,1.29412,0.000410409,0.000410409,0.000410409
74,11447.6,0.83902,0.77226,1.0896,0.66612,0.61504,0.64606,0.41794,1.19659,1.24146,1.27285,0.000396262,0.000396262,0.000396262
75,11601.7,0.8282,0.7858,1.10001,0.68683,0.6222,0.65556,0.42203,1.25446,1.26947,1.32005,0.000382115,0.000382115,0.000382115
76,11756,0.85617,0.77043,1.08661,0.74834,0.58175,0.66853,0.42391,1.22761,1.26609,1.28229,0.000367967,0.000367967,0.000367967
77,11911.7,0.80251,0.763,1.07618,0.6785,0.64983,0.66981,0.43291,1.21123,1.25285,1.28869,0.00035382,0.00035382,0.00035382
78,12067.5,0.81981,0.76297,1.09106,0.7028,0.67668,0.69749,0.44858,1.18754,1.15124,1.27948,0.000339673,0.000339673,0.000339673
79,12223.2,0.81765,0.77406,1.06256,0.691,0.63889,0.67723,0.43669,1.20938,1.2229,1.28543,0.000325526,0.000325526,0.000325526
80,12377.2,0.83172,0.75743,1.08142,0.6956,0.64885,0.69093,0.44755,1.19177,1.16765,1.29301,0.000311379,0.000311379,0.000311379
81,12530.9,0.77837,0.7219,1.05118,0.69373,0.64832,0.68544,0.45345,1.20241,1.2662,1.31137,0.000297232,0.000297232,0.000297232
82,12684.9,0.81233,0.74644,1.077,0.73286,0.61593,0.68174,0.44044,1.2216,1.24873,1.30813,0.000283085,0.000283085,0.000283085
83,12839.2,0.7962,0.73092,1.07495,0.69513,0.63876,0.68206,0.44301,1.22016,1.24947,1.32048,0.000268938,0.000268938,0.000268938
84,12993.3,0.78672,0.70886,1.06459,0.70048,0.65917,0.68752,0.44499,1.2133,1.21061,1.30676,0.000254791,0.000254791,0.000254791
85,13147.2,0.78402,0.70583,1.04921,0.69302,0.68639,0.70115,0.45337,1.20901,1.1581,1.28332,0.000240644,0.000240644,0.000240644
86,13301,0.79912,0.72575,1.06754,0.63244,0.69407,0.68437,0.43798,1.21258,1.2095,1.29991,0.000226497,0.000226497,0.000226497
87,13455,0.78229,0.68434,1.05585,0.68914,0.6668,0.68938,0.44439,1.19994,1.2033,1.28647,0.000212349,0.000212349,0.000212349
88,13609,0.76368,0.69064,1.04868,0.69688,0.67484,0.68434,0.44163,1.18647,1.22302,1.27778,0.000198202,0.000198202,0.000198202
89,13762.5,0.77135,0.69222,1.06381,0.70845,0.6684,0.68801,0.44408,1.18078,1.21711,1.2744,0.000184055,0.000184055,0.000184055
90,13916.6,0.74649,0.67234,1.03966,0.68349,0.68538,0.69355,0.45461,1.17748,1.1953,1.2738,0.000169908,0.000169908,0.000169908
91,14068.3,0.71747,0.58438,1.00202,0.71921,0.63067,0.66937,0.42948,1.21321,1.28416,1.30655,0.000155761,0.000155761,0.000155761
92,14220,0.70756,0.5601,0.98894,0.72592,0.65757,0.68936,0.45018,1.17647,1.19702,1.28363,0.000141614,0.000141614,0.000141614
93,14372.7,0.69441,0.54497,1.00168,0.7075,0.6736,0.69428,0.45124,1.18252,1.20545,1.28275,0.000127467,0.000127467,0.000127467
94,14525.3,0.68094,0.53191,0.98184,0.72589,0.66456,0.69099,0.44339,1.17972,1.23106,1.28542,0.00011332,0.00011332,0.00011332
95,14677.3,0.66387,0.52634,0.98702,0.7076,0.66396,0.69745,0.45343,1.17549,1.20802,1.27961,9.91726e-05,9.91726e-05,9.91726e-05
96,14829.7,0.67273,0.52574,0.97068,0.72965,0.65579,0.69483,0.44823,1.17843,1.21234,1.27468,8.50255e-05,8.50255e-05,8.50255e-05
97,14981.8,0.65825,0.49898,0.96153,0.72087,0.67429,0.69444,0.45227,1.17155,1.2018,1.27808,7.08784e-05,7.08784e-05,7.08784e-05
98,15133.3,0.65238,0.50725,0.95688,0.73652,0.65626,0.69021,0.44904,1.17115,1.21415,1.27603,5.67313e-05,5.67313e-05,5.67313e-05
99,15286.4,0.66762,0.51637,0.97529,0.73847,0.63604,0.68776,0.44727,1.17631,1.2383,1.2803,4.25842e-05,4.25842e-05,4.25842e-05
100,15440.2,0.66546,0.51368,0.97425,0.7374,0.64632,0.68801,0.44644,1.17047,1.22608,1.27825,2.84371e-05,2.84371e-05,2.84371e-05
